#,Name,Team,Type,PA,G,WAR,SLG,OBP,HR,RBI,SB,R,BB%,K%,AVG,Salary (Per Season)
1,Aaron Judge,NYY,Batter,429,96,7.4,0.733,0.462,35,81,6,85,0.161,0.254,0.355,40000000
2,Cal Raleigh,SEA,Batter,417,94,6.2,0.634,0.376,38,82,10,65,0.149,0.252,0.259,2666666
3,Pete Crow-Armstrong,CHC,Batter,394,93,5,0.555,0.308,25,71,27,67,0.046,0.226,0.27,771000
4,Bobby Witt Jr.,KCR,Batter,420,97,4.8,0.504,0.345,14,54,25,57,0.071,0.19,0.294,8111111
5,Fernando Tatis Jr.,SDP,Batter,413,94,4.1,0.451,0.366,16,42,21,65,0.123,0.174,0.269,20714285
6,Shohei Ohtani,LAD,Batter,428,93,4.1,0.599,0.379,31,59,12,88,0.14,0.252,0.273,28216944
7,Jeremy Peña,HOU,Batter,350,82,4,0.489,0.378,11,40,15,48,0.057,0.157,0.322,4100000
8,Byron Buxton,MIN,Batter,333,78,4,0.574,0.351,21,56,17,64,0.081,0.261,0.289,15142857
9,Kyle Tucker,CHC,Batter,414,93,3.9,0.504,0.387,17,55,22,68,0.143,0.145,0.284,16500000
10,Trea Turner,PHI,Batter,423,94,3.8,0.433,0.343,11,40,24,62,0.069,0.165,0.289,27272727
11,José Ramírez,CLE,Batter,391,92,3.7,0.506,0.363,18,50,29,54,0.09,0.113,0.295,19100000
12,James Wood,WSN,Batter,420,95,3.7,0.534,0.381,24,69,12,59,0.14,0.276,0.278,764600
13,Francisco Lindor,NYM,Batter,430,95,3.6,0.457,0.33,19,54,15,63,0.077,0.177,0.26,34150000
14,Corbin Carroll,ARI,Batter,361,80,3.6,0.55,0.324,21,47,11,62,0.086,0.258,0.245,5625000
15,Elly De La Cruz,CIN,Batter,415,97,3.6,0.495,0.359,18,63,25,72,0.101,0.243,0.284,770000
16,Ceddanne Rafaela,BOS,Batter,341,92,3.4,0.483,0.314,14,48,13,55,0.047,0.194,0.271,1250000
17,Ketel Marte,ARI,Batter,297,68,3.2,0.567,0.394,19,40,2,52,0.135,0.152,0.29,14000000
18,Will Smith,LAD,Batter,292,72,3.2,0.537,0.414,12,45,2,43,0.137,0.188,0.32,12927716
19,Manny Machado,SDP,Batter,408,96,3.1,0.49,0.35,17,56,8,57,0.088,0.169,0.292,17090909
20,Geraldo Perdomo,ARI,Batter,427,96,3.1,0.413,0.37,10,65,13,53,0.136,0.119,0.265,2550000
21,Alejandro Kirk,TOR,Batter,319,81,3,0.408,0.361,7,45,0,25,0.085,0.094,0.303,4600000
22,Riley Greene,DET,Batter,397,95,3,0.544,0.335,24,78,1,53,0.068,0.315,0.284,812400
23,CJ Abrams,WSN,Batter,364,82,3,0.483,0.353,12,33,20,61,0.066,0.162,0.287,780600
24,Zach McKinstry,DET,Batter,331,88,3,0.472,0.364,8,31,15,49,0.103,0.218,0.285,1650000
25,Cody Bellinger,NYY,Batter,375,88,3,0.494,0.336,16,54,9,54,0.077,0.144,0.282,27500000
26,Pete Alonso,NYM,Batter,423,97,3,0.532,0.376,21,77,1,53,0.109,0.227,0.28,30000000
27,Kyle Stowers,MIA,Batter,346,91,2.9,0.543,0.368,19,54,4,46,0.098,0.28,0.293,768200
28,Juan Soto,NYM,Batter,423,96,2.9,0.509,0.396,23,56,11,70,0.182,0.184,0.262,61875000
29,Julio Rodríguez,SEA,Batter,431,95,2.9,0.417,0.313,14,50,17,63,0.065,0.216,0.252,20235714
30,Jacob Wilson,ATH,Batter,366,87,2.9,0.462,0.375,9,42,5,44,0.055,0.077,0.332,760000
31,Andy Pages,LAD,Batter,370,91,2.9,0.48,0.322,17,59,8,44,0.041,0.2,0.286,770000
32,Eugenio Suárez,ARI,Batter,391,95,2.8,0.569,0.32,31,78,1,58,0.064,0.269,0.25,15000000
33,Randy Arozarena,SEA,Batter,412,94,2.8,0.463,0.357,17,48,16,53,0.104,0.274,0.251,11300000
34,Carlos Narváez,BOS,Batter,285,73,2.8,0.439,0.347,8,31,1,38,0.105,0.235,0.273,763500
35,Michael Busch,CHC,Batter,334,88,2.8,0.561,0.38,19,59,3,45,0.102,0.222,0.296,780500
36,Matt Olson,ATL,Batter,420,95,2.8,0.468,0.362,17,61,0,52,0.133,0.236,0.262,22000000
37,Kyle Schwarber,PHI,Batter,426,96,2.8,0.545,0.378,30,69,9,66,0.155,0.263,0.247,20000000
38,Isaac Paredes,HOU,Batter,403,92,2.7,0.468,0.357,19,49,0,51,0.119,0.166,0.257,6625000
39,J.P. Crawford,SEA,Batter,409,93,2.7,0.391,0.391,7,37,5,44,0.134,0.169,0.29,11000000
40,Jazz Chisholm Jr.,NYY,Batter,271,65,2.7,0.513,0.348,17,43,10,39,0.118,0.269,0.25,5850000
41,Sal Frelick,MIL,Batter,385,93,2.6,0.404,0.354,7,39,17,46,0.068,0.127,0.294,771800
42,Corey Seager,TEX,Batter,285,65,2.6,0.473,0.372,13,30,1,39,0.133,0.2,0.266,32500000
43,Masyn Winn,STL,Batter,358,85,2.6,0.378,0.317,7,32,5,55,0.075,0.179,0.255,770850
44,Jake Meyers,HOU,Batter,322,89,2.5,0.405,0.369,3,21,14,47,0.084,0.18,0.308,2300000
45,Maikel Garcia,KCR,Batter,386,95,2.5,0.454,0.354,8,40,18,40,0.08,0.135,0.297,774750
46,Brendan Donovan,STL,Batter,388,89,2.5,0.43,0.367,8,36,3,51,0.088,0.134,0.297,2850000
47,Matt Chapman,SFG,Batter,307,73,2.5,0.424,0.349,12,31,7,42,0.137,0.238,0.237,25166666
48,Nico Hoerner,CHC,Batter,378,92,2.4,0.377,0.331,3,39,16,52,0.056,0.074,0.283,11500000
49,Seiya Suzuki,CHC,Batter,398,90,2.4,0.56,0.324,25,77,2,53,0.08,0.264,0.269,19000000
50,Xander Bogaerts,SDP,Batter,379,94,2.4,0.369,0.344,5,31,15,39,0.108,0.164,0.266,25454545
51,Gunnar Henderson,BAL,Batter,371,88,2.4,0.455,0.348,11,31,10,49,0.089,0.24,0.28,782300
52,Carson Kelly,CHC,Batter,230,61,2.3,0.526,0.374,12,33,0,35,0.135,0.161,0.276,5000000
53,Alex Bregman,BOS,Batter,234,53,2.3,0.546,0.38,11,35,1,32,0.094,0.184,0.298,25000000
54,Austin Wells,NYY,Batter,289,78,2.3,0.455,0.284,14,53,3,30,0.066,0.239,0.226,801400
55,Gleyber Torres,DET,Batter,359,84,2.3,0.425,0.387,9,45,4,51,0.142,0.128,0.281,15000000
56,Ronald Acuña Jr.,ATL,Batter,193,45,2.3,0.59,0.435,12,22,4,39,0.166,0.269,0.323,17000000
57,Ernie Clement,TOR,Batter,342,94,2.3,0.387,0.328,4,25,3,44,0.058,0.102,0.288,1970000
58,Jonathan Aranda,TBR,Batter,358,91,2.3,0.492,0.399,11,49,0,48,0.092,0.237,0.324,766500
59,Ryan O'Hearn,BAL,Batter,319,82,2.2,0.458,0.382,11,34,3,38,0.122,0.163,0.286,8000000
60,Max Muncy,LAD,Batter,306,79,2.2,0.462,0.376,13,55,4,38,0.16,0.216,0.253,760000
61,TJ Friedl,CIN,Batter,411,93,2.1,0.406,0.368,9,33,10,55,0.112,0.158,0.276,780000
62,Lawrence Butler,ATH,Batter,408,93,2.1,0.433,0.326,13,40,16,55,0.1,0.275,0.251,2678571
63,Steven Kwan,CLE,Batter,404,92,2.1,0.396,0.345,6,32,11,43,0.082,0.084,0.285,4175000
64,Jackson Chourio,MIL,Batter,424,95,2.1,0.461,0.297,16,62,16,65,0.042,0.205,0.264,4250000
65,Brent Rooker,ATH,Batter,426,98,2.1,0.505,0.355,20,54,3,60,0.101,0.216,0.279,4000000
66,Sean Murphy,ATL,Batter,225,60,2.1,0.513,0.311,16,38,0,23,0.08,0.32,0.231,15000000
67,Vladimir Guerrero Jr.,TOR,Batter,414,94,2.1,0.434,0.384,12,46,5,59,0.135,0.143,0.277,28550000
68,Brandon Nimmo,NYM,Batter,383,93,2.1,0.463,0.321,18,53,10,46,0.076,0.191,0.259,20500000
69,Otto Lopez,MIA,Batter,328,79,2.1,0.392,0.32,11,48,10,41,0.088,0.137,0.25,778500
70,Wilyer Abreu,BOS,Batter,301,83,2,0.496,0.326,18,52,5,41,0.096,0.236,0.256,780000
71,Wyatt Langford,TEX,Batter,332,76,2,0.433,0.322,15,38,15,41,0.102,0.262,0.242,773500
72,Zach Neto,LAA,Batter,328,77,2,0.492,0.326,15,33,17,61,0.049,0.265,0.279,780000
73,Austin Riley,ATL,Batter,408,93,2,0.441,0.324,14,48,2,51,0.061,0.277,0.274,22000000
74,Dillon Dingler,DET,Batter,265,72,2,0.414,0.306,8,36,0,26,0.034,0.238,0.265,762600
75,Mauricio Dubón,HOU,Batter,214,72,2,0.415,0.292,6,20,2,26,0.051,0.089,0.255,5000000
76,Junior Caminero,TBR,Batter,384,91,2,0.499,0.292,23,60,5,55,0.055,0.203,0.252,764100
77,Bo Bichette,TOR,Batter,420,93,2,0.443,0.324,12,53,4,44,0.055,0.162,0.282,17583334
78,Addison Barger,TOR,Batter,266,72,2,0.506,0.317,13,40,3,38,0.071,0.248,0.261,760000
79,Hunter Goodman,COL,Batter,345,85,2,0.517,0.325,17,52,1,46,0.058,0.267,0.277,765000
80,Dansby Swanson,CHC,Batter,393,93,1.9,0.428,0.298,16,46,7,54,0.066,0.262,0.251,28000000
81,Marcus Semien,TEX,Batter,401,96,1.9,0.378,0.317,12,49,7,48,0.1,0.19,0.239,26000000
82,Freddie Freeman,LAD,Batter,356,84,1.9,0.476,0.365,10,49,1,46,0.093,0.225,0.297,22704674
83,Gabriel Moreno,ARI,Batter,188,53,1.9,0.414,0.324,5,20,1,29,0.069,0.17,0.27,793000
84,Drake Baldwin,ATL,Batter,211,65,1.9,0.479,0.351,11,32,0,21,0.09,0.161,0.279,760000
85,Josh Smith,TEX,Batter,341,84,1.9,0.416,0.353,8,24,9,45,0.094,0.167,0.277,780500
86,Harrison Bader,MIN,Batter,266,84,1.9,0.436,0.331,11,34,8,27,0.083,0.244,0.254,6250000
87,Ramón Laureano,BAL,Batter,237,68,1.9,0.517,0.35,11,35,4,35,0.084,0.257,0.284,4000000
88,Willson Contreras,STL,Batter,384,91,1.9,0.426,0.339,12,55,4,46,0.081,0.245,0.253,18000000
89,William Contreras,MIL,Batter,390,90,1.8,0.347,0.351,6,37,5,48,0.144,0.182,0.245,6000000
90,Rafael Devers,SFG,Batter,443,98,1.8,0.46,0.384,17,68,1,55,0.165,0.248,0.255,31318182
91,Trent Grisham,NYY,Batter,309,79,1.8,0.464,0.353,16,33,0,44,0.133,0.227,0.251,5000000
92,Brice Turang,MIL,Batter,392,93,1.8,0.366,0.345,6,39,17,57,0.099,0.212,0.274,777100
93,Spencer Torkelson,DET,Batter,383,91,1.8,0.489,0.337,21,59,1,55,0.115,0.24,0.234,785700
94,Patrick Bailey,SFG,Batter,250,76,1.8,0.297,0.267,2,26,0,24,0.08,0.312,0.203,780000
95,Oneil Cruz,PIT,Batter,360,85,1.7,0.414,0.319,16,37,29,49,0.131,0.322,0.212,785000
96,Isaac Collins,MIL,Batter,228,76,1.7,0.389,0.363,5,23,10,31,0.127,0.237,0.259,761100
97,George Springer,TOR,Batter,356,90,1.7,0.49,0.363,16,53,11,53,0.124,0.197,0.27,24166666
98,Cam Smith,HOU,Batter,323,82,1.7,0.418,0.347,7,39,4,39,0.084,0.276,0.277,760000
99,Victor Scott II,STL,Batter,323,90,1.7,0.32,0.318,4,31,24,40,0.084,0.272,0.235,764150
100,Javier Báez,DET,Batter,284,79,1.7,0.442,0.31,10,39,2,42,0.032,0.222,0.275,25050000
101,Iván Herrera,STL,Batter,175,43,1.6,0.529,0.394,8,36,3,22,0.097,0.183,0.32,770300
102,Jake Cronenworth,SDP,Batter,270,71,1.6,0.404,0.354,8,29,2,29,0.137,0.204,0.238,11285714
103,Trevor Story,BOS,Batter,384,94,1.6,0.417,0.298,15,58,16,50,0.047,0.279,0.257,22500000
104,Tyler Heineman,TOR,Batter,94,35,1.6,0.463,0.38,2,13,2,18,0.064,0.202,0.329,780300
105,Mookie Betts,LAD,Batter,391,89,1.6,0.381,0.315,11,45,6,56,0.092,0.107,0.244,26173581
106,Jung Hoo Lee,SFG,Batter,385,92,1.6,0.403,0.317,6,40,6,49,0.083,0.114,0.249,17250000
107,Willy Adames,SFG,Batter,408,96,1.6,0.373,0.307,12,48,4,53,0.11,0.262,0.22,13142857
108,Bryce Harper,PHI,Batter,302,68,1.6,0.451,0.374,10,35,9,38,0.142,0.199,0.261,27538462
109,Yandy Díaz,TBR,Batter,404,91,1.5,0.454,0.339,14,53,3,43,0.072,0.136,0.285,10000000
110,Colt Keith,DET,Batter,295,85,1.5,0.434,0.346,8,30,0,43,0.112,0.203,0.264,3833333
111,Alec Bohm,PHI,Batter,379,91,1.5,0.395,0.327,8,42,2,39,0.058,0.164,0.281,7700000
112,Josh Naylor,ARI,Batter,369,87,1.4,0.456,0.361,11,58,11,46,0.095,0.125,0.294,10900000
113,Tyler Soderstrom,ATH,Batter,395,97,1.4,0.462,0.339,18,56,5,50,0.094,0.233,0.262,765000
114,Jackson Merrill,SDP,Batter,272,64,1.4,0.416,0.328,7,32,1,33,0.085,0.217,0.263,809500
115,Jose Altuve,HOU,Batter,396,93,1.4,0.465,0.336,17,52,6,50,0.083,0.157,0.277,33000000
116,Jeff McNeil,NYM,Batter,229,63,1.4,0.465,0.341,9,31,1,21,0.1,0.114,0.253,15750000
117,Nolan Schanuel,LAA,Batter,396,92,1.4,0.401,0.364,8,40,4,45,0.109,0.119,0.275,780000
118,Jarren Duran,BOS,Batter,438,97,1.4,0.431,0.318,8,50,16,52,0.068,0.235,0.258,3750000
119,Evan Carter,TEX,Batter,151,42,1.4,0.425,0.351,4,18,12,24,0.093,0.185,0.269,760000
120,Brandon Lowe,TBR,Batter,343,84,1.4,0.487,0.324,19,50,3,54,0.07,0.248,0.272,10500000
121,Caleb Durbin,MIL,Batter,272,74,1.4,0.363,0.348,4,32,8,34,0.07,0.092,0.261,760000
122,Mike Yastrzemski,SFG,Batter,337,88,1.4,0.381,0.342,8,28,6,36,0.128,0.231,0.244,9250000
123,Christian Yelich,MIL,Batter,386,91,1.4,0.458,0.339,19,65,14,49,0.096,0.262,0.259,24093136
124,Ben Rice,NYY,Batter,302,78,1.3,0.466,0.326,14,31,3,43,0.089,0.205,0.235,782800
125,Taylor Ward,LAA,Batter,407,94,1.3,0.468,0.297,21,65,2,53,0.093,0.265,0.224,7825000
126,Nick Allen,ATL,Batter,283,86,1.3,0.27,0.309,0,15,6,25,0.085,0.223,0.238,780000
127,Willi Castro,MIN,Batter,290,74,1.3,0.435,0.356,9,24,8,41,0.1,0.245,0.265,6400000
128,Paul Goldschmidt,NYY,Batter,367,91,1.3,0.431,0.345,8,36,5,55,0.076,0.166,0.287,12500000
129,Alec Burleson,STL,Batter,316,85,1.2,0.466,0.34,11,43,4,31,0.07,0.133,0.293,778650
130,J.T. Realmuto,PHI,Batter,324,79,1.2,0.381,0.324,5,32,5,35,0.071,0.238,0.268,23875000
131,Xavier Edwards,MIA,Batter,357,79,1.2,0.347,0.352,1,24,16,40,0.09,0.146,0.288,772000
132,Gavin Sheets,SDP,Batter,349,92,1.2,0.451,0.324,14,50,1,36,0.077,0.195,0.265,1600000
133,Nolan Arenado,STL,Batter,347,84,1.2,0.388,0.305,10,42,1,39,0.072,0.098,0.246,32000000
134,Mike Trout,LAA,Batter,299,70,1.2,0.471,0.365,17,41,2,36,0.161,0.268,0.238,37116667
135,Jo Adell,LAA,Batter,326,89,1.2,0.483,0.317,19,54,3,36,0.071,0.236,0.243,2100000
136,Nick Kurtz,ATH,Batter,235,58,1.2,0.558,0.333,17,44,1,33,0.106,0.332,0.257,760000
137,Heliot Ramos,SFG,Batter,413,95,1.2,0.429,0.337,14,47,5,50,0.077,0.237,0.262,780000
138,Hyeseong Kim,LAD,Batter,119,48,1.1,0.464,0.378,2,13,11,17,0.05,0.252,0.339,2833333
139,Jorge Polanco,SEA,Batter,293,78,1.1,0.474,0.312,15,44,3,33,0.068,0.14,0.256,7000000
140,Tommy Edman,LAD,Batter,281,73,1.1,0.388,0.281,9,37,3,38,0.06,0.164,0.224,8400000
141,Jordan Westburg,BAL,Batter,180,44,1.1,0.473,0.306,10,21,1,29,0.056,0.25,0.251,772700
142,Daniel Schneemann,CLE,Batter,239,77,1.1,0.388,0.294,9,25,6,27,0.096,0.251,0.215,766000
143,Jake Mangum,TBR,Batter,230,61,1.1,0.394,0.349,2,28,13,23,0.052,0.122,0.31,760000
144,Nathan Lukes,TOR,Batter,216,70,1.1,0.398,0.371,5,32,1,28,0.12,0.125,0.276,766800
145,Rhys Hoskins,MIL,Batter,318,82,1.1,0.428,0.34,12,42,2,30,0.119,0.267,0.242,18000000
146,Max Schuemann,ATH,Batter,116,66,1.1,0.351,0.353,2,6,6,14,0.138,0.164,0.237,765000
147,Romy Gonzalez,BOS,Batter,154,44,1.1,0.582,0.364,5,28,4,26,0.058,0.221,0.326,774000
148,Ryan Jeffers,MIN,Batter,288,77,1.1,0.398,0.344,7,34,0,29,0.111,0.177,0.247,4550000
149,Kody Clemens,MIN,Batter,170,62,1.1,0.5,0.296,12,26,0,24,0.082,0.247,0.213,771000
150,Jasson Domínguez,NYY,Batter,309,80,1.1,0.417,0.343,8,34,14,43,0.107,0.285,0.266,774200
151,Lars Nootbaar,STL,Batter,386,88,1,0.381,0.332,12,37,4,50,0.124,0.215,0.227,2950000
152,Jackson Holliday,BAL,Batter,373,88,1,0.414,0.308,12,38,9,39,0.054,0.247,0.259,764800
153,Andrés Giménez,TOR,Batter,238,61,1,0.322,0.3,5,23,10,26,0.067,0.164,0.218,10571428
154,Jose Trevino,CIN,Batter,186,58,1,0.445,0.314,4,14,0,22,0.054,0.124,0.277,3425000
155,Wenceel Pérez,DET,Batter,142,39,1,0.508,0.317,7,20,2,22,0.063,0.211,0.262,770700
156,Marcell Ozuna,ATL,Batter,389,90,1,0.396,0.366,13,42,0,37,0.165,0.224,0.239,16000000
157,Ryan McMahon,COL,Batter,377,94,1,0.376,0.308,13,28,2,37,0.119,0.321,0.212,12000000
158,Pavin Smith,ARI,Batter,264,79,1,0.446,0.371,8,28,2,33,0.152,0.318,0.261,1500000
159,Denzel Clarke,ATH,Batter,149,44,1,0.326,0.259,3,8,6,15,0.04,0.403,0.21,760000
160,Adley Rutschman,BAL,Batter,276,68,1,0.372,0.319,8,20,0,31,0.116,0.163,0.227,5500000
161,Dane Myers,MIA,Batter,218,66,1,0.381,0.33,4,23,14,22,0.06,0.216,0.282,769000
162,Carlos Santana,CLE,Batter,360,89,1,0.36,0.328,11,41,6,43,0.119,0.186,0.232,12000000
163,Carlos Correa,MIN,Batter,322,83,1,0.389,0.304,7,30,0,35,0.056,0.196,0.264,37333333
164,José Caballero,TBR,Batter,243,75,0.9,0.314,0.313,2,24,31,30,0.107,0.3,0.219,776800
165,Ke'Bryan Hayes,PIT,Batter,350,89,0.9,0.293,0.284,2,31,10,30,0.049,0.214,0.238,7000000
166,Mike Tauchman,CHW,Batter,184,45,0.9,0.434,0.375,4,19,0,22,0.125,0.228,0.283,1950000
167,Matt McLain,CIN,Batter,357,87,0.9,0.337,0.298,10,32,13,45,0.098,0.269,0.21,770000
168,Brett Baty,NYM,Batter,242,75,0.9,0.403,0.282,9,30,4,22,0.07,0.248,0.226,774000
169,Bryson Stott,PHI,Batter,348,86,0.9,0.333,0.303,6,38,14,38,0.089,0.17,0.234,3200000
170,Ian Happ,CHC,Batter,393,84,0.9,0.376,0.323,12,45,4,53,0.125,0.221,0.226,21000000
171,Liam Hicks,MIA,Batter,198,64,0.9,0.411,0.367,4,30,0,19,0.116,0.157,0.274,760000
172,Noelvi Marte,CIN,Batter,104,28,0.9,0.547,0.337,6,23,5,14,0.077,0.163,0.284,760000
173,Austin Hays,CIN,Batter,192,47,0.9,0.517,0.323,8,37,2,30,0.052,0.266,0.287,4000000
174,Roman Anthony,BOS,Batter,124,31,0.9,0.406,0.371,2,13,2,19,0.121,0.218,0.264,760000
175,Adolis García,TEX,Batter,373,92,0.9,0.404,0.279,13,56,9,34,0.054,0.247,0.234,10500000
176,Gabriel Arias,CLE,Batter,281,77,0.8,0.369,0.293,6,31,3,28,0.064,0.313,0.231,770200
177,Luis Torrens,NYM,Batter,192,63,0.8,0.309,0.276,2,14,0,9,0.083,0.24,0.206,1500000
178,Lourdes Gurriel Jr.,ARI,Batter,385,90,0.8,0.421,0.299,12,47,7,34,0.057,0.138,0.251,14000000
179,Miguel Amaya,CHC,Batter,97,26,0.8,0.5,0.313,4,24,0,14,0.041,0.216,0.278,782500
180,Austin Wynns,ATH,Batter,96,36,0.8,0.562,0.326,6,21,0,11,0.052,0.271,0.292,1100000
181,Chase Meidroth,CHW,Batter,296,71,0.8,0.293,0.332,2,11,11,29,0.108,0.139,0.243,760000
182,Anthony Volpe,NYY,Batter,384,95,0.8,0.384,0.287,10,49,10,40,0.089,0.237,0.214,879000
183,Kerry Carpenter,DET,Batter,280,78,0.8,0.494,0.285,16,32,1,40,0.025,0.214,0.257,796800
184,Jesús Sánchez,MIA,Batter,293,75,0.8,0.41,0.321,7,31,9,35,0.082,0.212,0.259,4500000
185,Edmundo Sosa,PHI,Batter,144,49,0.8,0.421,0.322,3,21,0,15,0.049,0.201,0.278,3000000
186,Myles Straw,TOR,Batter,189,78,0.8,0.316,0.29,1,16,7,27,0.053,0.143,0.246,6400000
187,Nick Fortes,MIA,Batter,128,52,0.8,0.368,0.302,2,10,0,11,0.047,0.148,0.256,1860000
188,Shea Langeliers,ATH,Batter,267,66,0.8,0.424,0.285,12,31,4,28,0.079,0.195,0.226,770000
189,Cedric Mullins,BAL,Batter,312,79,0.7,0.411,0.302,13,41,13,38,0.103,0.234,0.218,8725000
190,Dominic Canzone,SEA,Batter,97,30,0.7,0.564,0.34,6,10,1,11,0.031,0.175,0.319,760000
191,Vinnie Pasquantino,KCR,Batter,404,96,0.7,0.437,0.329,15,56,1,37,0.067,0.168,0.272,793250
192,Alex Call,WSN,Batter,217,65,0.7,0.385,0.377,2,21,1,28,0.111,0.147,0.279,769100
193,Lenyn Sosa,CHW,Batter,298,81,0.7,0.417,0.29,9,31,2,27,0.027,0.238,0.267,770000
194,James McCann,ARI,Batter,31,9,0.7,0.708,0.516,2,5,0,7,0.194,0.194,0.375,1000000
195,Josh Lowe,TBR,Batter,211,52,0.7,0.402,0.319,6,20,6,31,0.09,0.204,0.249,775100
196,Jordan Beck,COL,Batter,337,84,0.7,0.444,0.318,10,31,10,41,0.065,0.279,0.264,762000
197,Matt Thaiss,TBR,Batter,173,54,0.7,0.298,0.36,1,16,1,15,0.162,0.237,0.227,1000000
198,Alek Thomas,ARI,Batter,281,86,0.7,0.366,0.295,5,25,5,31,0.053,0.26,0.245,793000
199,Bo Naylor,CLE,Batter,244,72,0.7,0.351,0.272,9,20,1,27,0.123,0.27,0.171,790300
200,Rob Refsnyder,BOS,Batter,124,41,0.7,0.481,0.363,5,16,3,18,0.121,0.266,0.274,2100000
201,Ramón Urías,BAL,Batter,256,68,0.7,0.36,0.293,6,29,2,24,0.07,0.207,0.241,760000
202,Luke Raley,SEA,Batter,156,43,0.7,0.362,0.342,4,17,2,18,0.096,0.244,0.223,787400
203,Mickey Moniak,COL,Batter,248,79,0.7,0.517,0.306,13,34,5,31,0.06,0.242,0.257,1250000
204,Heriberto Hernandez,MIA,Batter,85,30,0.6,0.506,0.376,3,12,0,11,0.082,0.282,0.325,760000
205,Daulton Varsho,TOR,Batter,100,24,0.6,0.543,0.24,8,20,1,14,0.05,0.31,0.207,8200000
206,J.C. Escarra,NYY,Batter,93,36,0.6,0.354,0.312,2,10,1,5,0.118,0.14,0.215,760000
207,Miguel Rojas,LAD,Batter,131,55,0.6,0.431,0.3,5,13,1,16,0.053,0.122,0.26,4000000
208,Josh Jung,TEX,Batter,297,75,0.6,0.366,0.283,8,35,4,25,0.054,0.246,0.237,760000
209,Reese McGuire,CHC,Batter,66,20,0.6,0.476,0.246,5,10,0,10,0.03,0.197,0.222,760000
210,Brandon Marsh,PHI,Batter,225,74,0.6,0.365,0.332,3,21,5,28,0.102,0.244,0.259,3000000
211,Davis Schneider,TOR,Batter,93,34,0.6,0.436,0.344,5,11,0,14,0.14,0.312,0.218,780000
212,Victor Caratini,HOU,Batter,237,66,0.6,0.437,0.304,10,32,0,24,0.046,0.173,0.256,6000000
213,Yohel Pozo,STL,Batter,97,38,0.6,0.505,0.33,4,14,0,11,0.031,0.093,0.312,760000
214,Nick Gonzales,PIT,Batter,144,35,0.6,0.424,0.319,4,13,0,14,0.076,0.153,0.265,775000
215,Kyle Isbel,KCR,Batter,250,84,0.6,0.362,0.27,3,18,2,25,0.036,0.196,0.245,1750000
216,Freddy Fermin,KCR,Batter,179,57,0.6,0.354,0.331,2,8,0,14,0.067,0.168,0.274,781750
217,Tyler Stephenson,CIN,Batter,217,54,0.5,0.384,0.313,6,27,0,23,0.111,0.355,0.232,4925000
218,Leo Rivas,SEA,Batter,73,30,0.5,0.3,0.411,0,4,4,14,0.164,0.205,0.283,760000
219,Isiah Kiner-Falefa,PIT,Batter,299,83,0.5,0.339,0.318,1,23,12,26,0.047,0.157,0.274,7500000
220,Miguel Vargas,CHW,Batter,380,93,0.5,0.383,0.297,10,35,4,44,0.089,0.174,0.218,770400
221,Nolan Gorman,STL,Batter,226,66,0.5,0.408,0.31,9,29,1,31,0.119,0.301,0.219,782900
222,Tyrone Taylor,NYM,Batter,273,86,0.5,0.313,0.267,2,17,10,24,0.04,0.223,0.213,3025000
223,Ronny Mauricio,NYM,Batter,103,29,0.5,0.409,0.311,4,6,2,13,0.087,0.282,0.237,766000
224,Ben Williamson,SEA,Batter,256,73,0.5,0.321,0.294,1,18,2,35,0.043,0.238,0.259,760000
225,Austin Hedges,CLE,Batter,102,39,0.5,0.227,0.21,3,4,1,7,0.108,0.304,0.114,4000000
226,Garrett Mitchell,MIL,Batter,78,25,0.5,0.294,0.286,0,3,3,9,0.09,0.321,0.206,772000
227,Derek Hill,MIA,Batter,99,31,0.5,0.326,0.278,2,7,6,13,0.071,0.374,0.213,831000
228,Danny Jansen,TBR,Batter,233,66,0.5,0.379,0.302,9,27,0,24,0.107,0.258,0.207,8000000
229,Eli White,ATL,Batter,189,69,0.5,0.382,0.282,4,17,6,27,0.048,0.217,0.242,790000
230,Marcelo Mayer,BOS,Batter,124,40,0.5,0.414,0.266,4,10,0,19,0.056,0.298,0.224,760000
231,Yoán Moncada,LAA,Batter,135,36,0.5,0.479,0.326,7,21,0,19,0.111,0.244,0.231,5000000
232,Jacob Young,WSN,Batter,226,71,0.5,0.283,0.307,0,15,10,22,0.08,0.142,0.237,768700
233,Kyle Manzardo,CLE,Batter,300,82,0.5,0.442,0.293,15,37,1,27,0.093,0.25,0.217,763200
234,Francisco Alvarez,NYM,Batter,138,35,0.4,0.333,0.319,3,11,0,10,0.094,0.275,0.236,760000
235,Luis Urías,ATH,Batter,259,71,0.4,0.363,0.32,7,18,2,22,0.097,0.139,0.239,1100000
236,Colton Cowser,BAL,Batter,147,37,0.4,0.449,0.279,8,18,3,15,0.041,0.306,0.221,774500
237,Jahmai Jones,DET,Batter,48,25,0.4,0.561,0.396,2,5,0,5,0.125,0.146,0.293,810000
238,Kameron Misner,TBR,Batter,217,71,0.4,0.345,0.273,5,22,8,27,0.074,0.318,0.213,760000
239,Tyler Freeman,COL,Batter,188,54,0.4,0.422,0.404,1,13,12,23,0.096,0.09,0.323,775700
240,Luke Keaschall,MIN,Batter,26,7,0.4,0.526,0.538,0,2,5,4,0.192,0.077,0.368,760000
